,Gender,Emotion,Actor_ID,Path
0,female,neutral,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-01-01-01_0.wav
1,male,neutral,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-01-01-01_1.wav
2,female,neutral,12,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-01-01-01_2.wav
3,female,neutral,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-01-02-01_0.wav
4,male,neutral,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-01-02-01_1.wav
5,female,neutral,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-02-01-01_0.wav
6,male,neutral,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-02-01-01_1.wav
7,female,neutral,12,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-02-01-01_2.wav
8,female,neutral,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-02-02-01_0.wav
9,male,neutral,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-02-02-01_1.wav
10,female,neutral,12,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-01-01-02-02-01_2.wav
11,female,calm,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-01-01-01_0.wav
12,male,calm,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-01-01-01_1.wav
13,female,calm,12,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-01-01-01_2.wav
14,female,calm,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-01-02-01_0.wav
15,male,calm,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-01-02-01_1.wav
16,female,calm,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-02-01-01_0.wav
17,male,calm,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-02-01-01_1.wav
18,female,calm,12,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-02-01-01_2.wav
19,female,calm,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-02-02-01_0.wav
20,male,calm,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-02-02-01_1.wav
21,female,calm,12,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-01-02-02-01_2.wav
22,female,calm,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-02-01-01-01_0.wav
23,female,calm,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-02-01-02-01_0.wav
24,male,calm,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-02-01-02-01_1.wav
25,female,calm,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-02-02-01-01_0.wav
26,male,calm,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-02-02-01-01_1.wav
27,female,calm,12,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-02-02-01-01_2.wav
28,male,calm,13,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-02-02-01-01_3.wav
29,female,calm,10,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-02-02-02-01_0.wav
30,male,calm,11,C:/Nini/Capstone/AudioFilesSnippets/Actor_01/01-01-02-02-02-02-01_1.wav
